platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake,username,username_length,digits_count,digit_ratio,special_char_count,repeat_char_count
Facebook,1,116,0,383,729,0.524657534,2533,183,0.072217837,0.039297953,0.318756523,494,52,128,1,1,0,ali,3,0,0,0,0
Facebook,1,221,1,357,728,0.489711934,3515,208,0.059158134,0.649407519,,,136,86,0,1,0,nikolai.1168,12,4,0.333333333,1,1
Facebook,,,1,403,695,0.579022989,3774,,,0.477465471,0.180944954,405,102,32,0,1,0,valentina1767,13,4,0.307692308,0,0
Instagram,0,19,0,352,705,0.498583569,2079,202,0.097115385,0.154311823,0.948800251,197,128,141,0,1,0,mateo_3352,10,4,0.4,1,1
Instagram,1,123,,392,730,0.53625171,4662,175,0.037529487,0.743251907,0.933292793,499,160,55,0,0,0,sofia,5,0,0,0,0
Facebook,1,230,1,,702,0.549075391,2058,175,,0.411306855,0.224812091,,37,27,,0,0,giulia.4710,11,4,0.363636364,1,0
Facebook,0,52,1,409,649,0.629230769,678,224,0.329896907,,0.553501873,317,56,,1,,0,yumi5279,8,4,0.5,0,0
Instagram,1,118,0,379,707,0.535310734,,,0.039409863,0.967266066,0.1373681,169,,22,0,0,0,lucas_8674,10,4,0.4,1,0
Instagram,1,11,,373,697,0.534383954,2975,219,,0.486230081,0.674677629,,175,37,0,1,1,user_224490,11,6,0.545454545,1,2
Instagram,1,176,1,346,693,0.498559078,285,210,0.734265734,0.823372866,0.185305796,248,2,42,1,1,0,anna6531,8,4,0.5,0,1
X,0,16,1,434,724,0.59862069,2201,207,0.09400545,0.769577523,0.049790423,149,31,9,1,0,0,camila.6627,11,4,0.363636364,1,1
X,0,63,1,427,681,0.626099707,4467,199,0.044538944,0.662754592,0.824896807,209,148,26,1,0,0,mia_2231,8,4,0.5,1,1
X,0,41,0,438,730,0.599179207,1841,186,0.100977199,0.896812143,0.325400383,399,67,135,0,1,0,leo_5885,8,4,0.5,1,1
Facebook,1,93,0,,678,0.621502209,1879,198,0.105319149,0.251601647,0.108522404,227,144,84,1,1,0,layla_3607,10,4,0.4,1,0
X,1,156,0,426,711,0.598314607,1611,,0.120967742,,,243,169,12,0,0,0,ahmed,5,0,0,0,0
Facebook,0,146,0,391,677,0.576696165,3963,,0.053229062,0.377787488,0.762397478,,67,57,1,0,0,alex,4,0,0,0,0
Facebook,,237,,385,739,0.52027027,4237,180,0.042472865,0.81249089,0.68375845,119,83,,1,0,1,user_960793,11,6,0.545454545,1,0
X,0,10,0,371,,,3160,224,0.070863651,0.493788685,,292,11,99,0,1,1,user_598434,11,6,0.545454545,1,0
Facebook,1,97,,387,722,0.53526971,3499,201,0.057428571,0.857709253,0.489226087,,44,,1,0,1,mglhm3216,9,4,0.444444444,0,0
X,0,177,,394,701,0.561253561,2132,194,0.090951711,0.894843538,0.128056498,407,163,4,,0,0,martin4797,10,4,0.4,0,0
X,0,70,,390,686,0.56768559,3315,201,0.060615199,0.597643876,0.06134641,124,79,21,1,0,0,leo3972,7,4,0.571428571,0,0
Instagram,1,107,1,424,716,0.591352859,1379,181,0.13115942,0.507626957,0.318441018,466,178,65,0,1,1,600yzubmr6,10,4,0.4,0,1
,1,,1,393,732,0.536152797,3078,228,0.074050016,0.783280143,0.08683083,241,134,,,0,0,haruto,6,0,0,0,0
Instagram,1,33,0,433,730,0.592339261,3015,,0.072281167,0.266986203,0.53550944,211,160,39,0,0,0,mina,4,0,0,0,0
X,0,19,1,,712,0.5371669,3893,189,0.04853621,0.015348681,0.014499018,474,47,87,0,0,0,dmitri_9397,11,4,0.363636364,1,0
X,1,49,,393,708,0.554301834,1716,179,0.104251602,0.407094583,0.443763302,16,193,121,1,0,0,priya.3283,10,4,0.4,1,0
Instagram,1,101,1,422,,0.610709117,453,186,0.40969163,0.507774133,0.17846029,15,32,4,1,1,1,pusyrcnpxc,10,0,0,0,0
Instagram,,215,1,418,703,0.59375,,200,0.583090379,0.297262719,0.368268044,384,83,143,1,0,0,leo_4245,8,4,0.5,1,0
X,1,137,0,429,686,0.624454148,393,180,0.456852792,0.383361882,0.675034075,340,100,116,1,1,1,srw5pvv8e5,10,3,0.3,0,1
Facebook,0,159,,395,689,0.572463768,1270,199,,,0.350963771,,154,14,1,0,0,pablo.2068,10,4,0.4,1,0
Instagram,0,,1,392,723,0.541436464,3051,215,0.070445609,,0.341339887,474,46,74,1,0,0,leo3140,7,4,0.571428571,0,0
Facebook,1,14,1,,708,0.576868829,4060,214,0.05269638,0.240095348,0.990750733,256,84,79,0,0,0,martin,6,0,0,0,0
,1,228,1,402,691,0.580924855,971,202,0.20781893,0.300986854,0.718814723,285,,17,1,0,0,michael_9267,12,4,0.333333333,1,0
Facebook,1,83,0,384,679,0.564705882,2206,196,0.088808337,0.299054111,,467,42,101,1,0,1,qne8say38b,10,3,0.3,0,0
,1,130,1,377,,0.566917293,4795,207,,0.558968371,0.579375651,,79,131,0,0,1,bot_fh2ti,9,1,0.111111111,1,0
Facebook,1,36,1,385,707,0.543785311,166,206,1.233532934,0.25059694,0.620182632,45,146,52,1,1,1,vrkxc6047,9,4,0.444444444,0,0
Instagram,1,125,0,398,677,0.587020649,255,222,0.8671875,0.940961263,0.024575399,257,195,57,,1,1,acc_y2j3keze,12,2,0.166666667,1,1
Facebook,0,248,1,,722,0.508990318,302,176,0.580858086,0.51127483,0.080264591,142,137,111,0,1,0,yusuf7523,9,4,0.444444444,0,0
X,0,,1,396,725,0.545454545,3104,211,0.067954911,0.128966006,0.649189351,284,21,84,,1,1,user_284324,11,6,0.545454545,1,0
X,1,71,1,412,721,0.570637119,3841,200,0.052056221,,0.364468859,354,193,,1,1,0,ashley.4268,11,4,0.363636364,1,0
Instagram,0,39,1,407,704,0.577304965,2557,190,0.074276779,0.729757496,0.05544404,317,,57,0,0,0,priya.1316,10,4,0.4,1,0
X,1,235,,,,0.576757532,1506,221,,0.013659038,0.297513246,12,107,115,1,0,0,dmitri_6896,11,4,0.363636364,1,0
X,0,55,1,384,,0.52173913,1257,208,,0.937817986,0.13028342,466,,58,0,0,0,kiran,5,0,0,0,0
Facebook,,,0,424,691,,2263,177,0.078180212,0.445176922,0.916313842,320,17,29,0,0,0,carlos,6,0,0,0,0
Instagram,0,103,1,386,758,0.5085639,4341,,0.044219254,0.521079023,0.202925393,44,,67,0,1,0,leo2430,7,4,0.571428571,0,0
Facebook,1,138,1,413,,0.60380117,210,189,,0.988412236,0.143691197,46,18,74,1,1,1,dgocm5622,9,4,0.444444444,0,1
Facebook,0,109,1,436,682,,3794,,0.049802372,0.503403086,0.626168817,15,,67,,0,0,kiran.8539,10,4,0.4,1,0
Facebook,1,,0,392,749,0.522666667,4522,182,0.04023878,0.947743994,0.52191193,381,,130,0,0,0,kojo.2246,9,4,0.444444444,1,1
Facebook,,135,1,383,697,0.548710602,3048,203,0.066579206,0.915231116,0.575932454,106,26,56,1,1,0,yuki.9276,9,4,0.444444444,1,0
Facebook,0,92,1,378,,0.543884892,981,194,0.197556008,0.941315529,0.435948148,2,,40,0,1,0,jessica.4446,12,4,0.333333333,1,2
Facebook,0,93,0,373,666,0.55922039,2120,221,0.104196134,0.812373057,0.467169311,103,158,3,0,0,1,user_520976,11,6,0.545454545,1,0
Facebook,0,55,0,403,752,0.535192563,3746,193,0.051507873,0.296398085,0.778797556,453,171,38,1,1,0,giulia_1309,11,4,0.363636364,1,0
Instagram,0,59,,390,662,0.588235294,178,183,1.022346369,0.346382484,,94,137,108,0,0,1,acc_mz1zscae,12,1,0.083333333,1,1
,1,137,0,400,724,0.551724138,1547,194,0.125322997,0.364984068,0.396529303,132,148,105,0,0,1,acc_bqbre9qg,12,1,0.083333333,1,1
Facebook,,38,1,415,695,0.596264368,2035,189,0.092829077,0.97918084,0.957825385,409,174,,1,1,0,pablo,5,0,0,0,0
Facebook,0,27,1,353,706,0.499292786,,182,0.606666667,0.360755504,0.189985701,347,,10,0,1,0,oliver.4394,11,4,0.363636364,1,0
Facebook,,48,,398,685,0.580174927,2568,205,0.079797587,,0.293773595,,122,10,0,0,1,acc_bjyxow1w,12,1,0.083333333,1,1
Facebook,0,163,1,385,705,0.545325779,3567,202,0.05661435,0.778328895,0.191566924,200,,53,,1,1,acc_i0cf4fk2,12,3,0.25,1,1
Facebook,0,124,,,684,0.576642336,,206,0.050977481,0.366063292,0.020495496,253,163,19,0,1,1,bot_pmn9g,9,1,0.111111111,1,0
Facebook,1,12,,374,709,,275,,0.789855072,0.620935912,0.269829925,182,,127,0,0,1,zzfkv8974,9,4,0.444444444,0,1
X,0,223,1,403,746,0.539491299,2996,,0.069402736,,0.046467446,,73,75,1,0,0,omar2562,8,4,0.5,0,0
X,1,35,1,422,746,,53,195,3.611111111,0.575505577,0.154685126,36,,118,0,0,0,riya.480,8,3,0.375,1,0
Facebook,0,100,1,403,688,0.58490566,1424,202,0.141754386,0.637700178,0.36268207,468,146,13,1,1,0,kojo_6211,9,4,0.444444444,1,1
X,1,25,0,433,682,0.633967789,1628,213,0.130755064,0.642862564,0.020721217,489,191,122,1,,1,xrzwg2209,9,4,0.444444444,0,1
,0,85,1,,,0.593373494,489,207,0.42244898,0.612399186,,412,109,,1,0,0,jose,4,0,0,0,0
Facebook,0,3,1,398,730,0.544459644,2355,202,0.08573854,0.159769377,0.795589014,409,137,105,1,0,0,omar,4,0,0,0,0
Instagram,1,222,1,,719,0.545833333,417,207,0.495215311,0.456415415,0.411413802,325,48,105,0,1,0,sofia.3980,10,4,0.4,1,0
Instagram,0,81,0,422,756,0.557463672,2557,214,0.083659109,0.00766402,0.984665979,138,181,102,1,1,0,tao_4541,8,4,0.5,1,0
Facebook,0,191,0,398,694,0.572661871,921,,0.220173536,0.626264804,0.678993915,99,60,9,0,0,0,jessica.9053,12,4,0.333333333,1,1
X,0,165,1,382,745,0.512064343,,195,0.125401929,,0.743721748,403,186,,0,1,1,acc_d5tlfk6m,12,2,0.166666667,1,1
Instagram,1,126,1,405,716,0.564853556,2686,198,0.073688128,0.318137219,0.192300424,235,129,132,1,1,0,fatima_503,10,3,0.3,1,0
Facebook,,,1,425,677,0.626843658,666,226,0.338830585,0.523895503,0.837437623,83,74,21,,0,1,spwac3109,9,4,0.444444444,0,0
Instagram,0,126,0,391,708,0.551480959,4102,207,0.05045089,0.493057782,0.945046398,346,,,1,1,0,haruto,6,0,0,0,0
Instagram,1,,1,420,709,,2470,178,0.072035613,0.250915216,,453,146,28,0,1,0,hans3664,8,4,0.5,0,1
Instagram,1,214,1,419,738,0.566982409,1475,209,,0.293287548,0.686464294,32,195,134,0,0,1,user_789363,11,6,0.545454545,1,0
Instagram,1,21,1,380,,0.547550432,338,217,0.640117994,0.762540997,0.746941049,,141,145,0,1,1,uxdew9558,9,4,0.444444444,0,1
X,0,129,0,,707,0.519774011,3160,177,0.055994938,0.755732319,0.305169172,29,21,34,1,,0,yuki,4,0,0,0,0
Instagram,0,30,,,748,0.481975968,269,188,0.696296296,0.46978215,0.475009003,433,16,70,0,1,1,acc_v20we8sp,12,3,0.25,1,1
Instagram,0,118,1,,701,0.578347578,1088,212,,0.717508952,0.097539094,33,106,93,1,1,0,ananya3565,10,4,0.4,0,0
Instagram,1,10,0,394,651,0.604294479,1294,215,,0.45080128,0.173094804,132,62,3,1,1,0,nikolai_606,11,3,0.272727273,1,0
,0,219,0,383,743,,,204,0.310030395,0.851374035,0.061570524,207,121,,0,0,0,valentina,9,0,0,0,0
Instagram,,45,1,376,698,0.537911302,2829,193,0.06819788,0.332806682,0.560165491,139,25,93,1,0,0,layla_4279,10,4,0.4,1,0
,1,95,0,438,708,0.617771509,3974,198,0.049811321,,0.625262897,75,163,29,0,,0,tao.2668,8,4,0.5,1,1
X,,189,1,402,,0.586861314,,227,0.045775358,0.542283651,0.916119583,74,116,93,0,0,0,leo,3,0,0,0,0
X,1,196,0,389,671,0.578869048,1337,184,0.137518685,0.535687861,0.542184811,307,44,109,0,0,0,kwame,5,0,0,0,0
X,1,191,0,377,674,0.558518519,2357,230,0.097540288,0.670810384,0.260611371,306,29,73,0,0,0,maria_8032,10,4,0.4,1,0
Instagram,1,,,,683,0.557017544,1668,185,0.110844817,0.340856011,0.059473547,404,115,141,1,,0,ananya_5383,11,4,0.363636364,1,0
X,0,9,,388,677,,1826,203,0.111111111,0.724329571,0.884953053,454,148,86,0,1,1,user_192537,11,6,0.545454545,1,0
X,1,167,1,442,658,0.670713202,4031,207,0.051339286,0.320425103,0.478858079,57,147,139,1,1,0,oliver,6,0,0,0,0
Instagram,0,127,0,384,701,0.547008547,1213,191,0.157331137,0.39753883,,97,169,75,0,1,0,olga.6645,9,4,0.444444444,1,1
X,0,237,,434,712,0.608695652,2769,192,,0.674703437,0.014649349,,89,25,0,0,1,bot_kyzkj,9,0,0,1,0
Instagram,1,151,1,397,709,0.55915493,4416,216,0.04890197,0.378449101,0.488138923,447,118,133,1,1,0,ali.4349,8,4,0.5,1,0
Facebook,1,98,1,403,668,0.602391629,,,0.062418301,0.199974123,0.325722623,348,183,100,,0,0,alex632,7,3,0.428571429,0,0
,1,,1,380,691,0.549132948,445,184,0.412556054,0.871901459,0.030331273,133,139,114,0,1,0,kwame,5,0,0,0,0
,0,111,1,398,702,0.566145092,1398,219,0.156540386,,0.775672807,483,7,142,0,1,0,alex,4,0,0,0,0
Instagram,1,59,,393,,0.569565217,4382,,0.041067762,0.62673105,,225,92,105,1,0,1,bot_o79mk,9,2,0.222222222,1,0
X,,189,1,383,681,0.561583578,2219,206,0.092792793,0.811150771,0.333180243,432,,102,0,1,1,djrnmbhv56,10,2,0.2,0,0
Instagram,1,86,1,403,699,0.575714286,3677,197,0.053561718,0.986652355,0.805798484,,190,146,0,0,0,layla_2859,10,4,0.4,1,0
Facebook,1,144,,390,691,0.563583815,2311,,,0.614774752,0.446923452,36,55,103,0,1,1,user_498606,11,6,0.545454545,1,0
Instagram,1,64,1,399,675,0.590236686,,194,0.047996042,0.908792643,,137,,76,1,0,1,3lqmnclmni,10,1,0.1,0,0
X,0,246,1,,695,0.533045977,3607,200,0.055432373,0.35925475,0.944447632,207,,94,1,0,0,chen_3395,9,4,0.444444444,1,1
X,0,222,1,399,706,0.564356436,1828,,0.11481684,0.700472436,,193,120,106,1,,1,bot_dd5w5,9,2,0.222222222,1,1
Facebook,0,222,1,423,675,0.625739645,3220,228,0.07078547,0.055805466,0.830575522,,60,111,1,1,0,arjun.5784,10,4,0.4,1,0
Instagram,1,233,1,397,731,0.542349727,4689,217,,0.788971556,0.816415384,338,137,51,0,1,1,acc_bmw0hv3n,12,2,0.166666667,1,1
X,1,,0,400,,0.545702592,4512,215,0.047640151,0.829803145,0.162373931,326,49,17,1,0,1,csumr6515,9,4,0.444444444,0,0
Facebook,,182,0,,730,0.518467852,2073,196,,,0.474002681,321,147,56,1,0,0,yusuf,5,0,0,0,0
X,0,105,0,376,687,0.546511628,,199,0.047482701,0.638955016,,300,27,32,1,0,0,dmitri.5623,11,4,0.363636364,1,0
X,1,180,1,409,724,,2331,,0.101629503,0.858361102,,86,141,103,1,1,0,layla,5,0,0,0,0
Instagram,1,183,0,415,789,0.525316456,686,178,0.259097525,0.883608165,0.730978843,94,,131,0,0,0,valentina.8351,14,4,0.285714286,1,0
X,1,225,1,406,650,0.623655914,4959,170,,0.106531524,0.23706947,195,,18,0,1,1,5avf28x26e,10,5,0.5,0,0
Instagram,0,8,1,401,,0.577809798,685,187,0.272594752,0.827487747,0.117127931,191,134,6,1,1,1,cfdnz6318,9,4,0.444444444,0,0
X,1,21,1,408,708,0.575458392,2938,197,0.067029602,0.274243352,0.507123551,143,4,25,1,1,0,daniel_6972,11,4,0.363636364,1,0
Facebook,,140,0,408,695,0.586206897,3712,210,,0.727306896,0.536986384,9,0,86,1,0,0,camila3128,10,4,0.4,0,0
X,1,88,0,,648,0.636363636,341,193,,0.325164153,0.675828931,240,110,97,1,1,0,martin_8186,11,4,0.363636364,1,0
Instagram,,175,0,401,694,0.576978417,4700,212,0.045096788,0.056329671,0.759137747,,72,135,0,0,0,hans935,7,3,0.428571429,0,0
Instagram,,17,1,397,711,0.55758427,,199,0.270748299,0.20987071,0.695809531,475,105,140,,0,0,leo_6306,8,4,0.5,1,0
Facebook,0,114,0,405,675,0.599112426,1497,217,0.144859813,0.408671776,0.845412208,493,9,31,,1,0,arjun.5001,10,4,0.4,1,1
X,1,203,1,392,672,,3894,199,0.051091142,,0.222906464,139,185,33,1,1,1,user_251803,11,6,0.545454545,1,0
X,1,167,,381,708,0.537376587,2955,187,0.063261164,0.100703627,0.569766746,12,64,145,1,0,0,mia,3,0,0,0,0
Facebook,0,144,0,417,685,0.60787172,1132,186,0.164165931,0.812934125,0.360095357,,187,54,1,,0,layla.7545,10,4,0.4,1,0
X,0,142,1,406,683,0.593567251,4636,207,0.044640932,0.996951092,,499,147,42,1,1,1,user_474050,11,6,0.545454545,1,0
X,1,105,,398,666,,,227,0.130911188,0.788257643,0.440279523,,57,148,1,1,0,giulia,6,0,0,0,0
,1,14,0,397,727,0.54532967,3036,200,0.065854462,0.47373652,0.959713933,80,170,,,1,1,acc_81g1w4yo,12,4,0.333333333,1,1
X,0,206,0,430,,0.571049137,2714,222,0.081767956,0.568160211,0.769065654,209,156,141,0,0,1,09eub04llz,10,4,0.4,0,1
X,1,62,0,378,679,0.555882353,,194,0.078194277,0.006160508,0.718463862,,,18,0,1,0,dmitri.9624,11,4,0.363636364,1,0
Facebook,1,246,1,368,694,0.529496403,1420,223,0.156931738,0.209273838,0.491563712,393,153,56,0,1,0,kojo.736,8,3,0.375,1,0
,1,166,1,393,694,0.565467626,1990,181,0.090909091,0.898988131,0.443378134,377,58,79,1,1,0,priya6474,9,4,0.444444444,0,0
Instagram,1,12,0,397,651,0.608895706,4711,223,0.047325976,0.021729403,0.526548188,,104,1,0,1,0,diego8808,9,4,0.444444444,0,1
X,0,80,0,441,711,0.619382022,488,197,0.402862986,0.904794953,0.293633063,396,0,48,1,1,0,ivan.365,8,3,0.375,1,0
X,1,31,1,423,774,0.545806452,,204,0.053389165,0.113252608,0.90450994,417,30,89,1,,0,jose7749,8,4,0.5,0,1
X,1,136,0,,707,,1442,223,0.154539155,,0.794330655,58,37,21,1,,0,pablo_6515,10,4,0.4,1,0
Instagram,0,39,,404,724,0.557241379,2391,205,0.085702341,0.175349911,,127,,90,0,1,0,daniel.8067,11,4,0.363636364,1,0
Instagram,0,147,1,387,742,0.520861373,1385,223,0.160894661,0.799385325,0.433153595,304,193,28,0,1,0,suresh.8186,11,4,0.363636364,1,0
Facebook,1,217,,,705,0.565155807,2157,235,0.108897127,0.478186575,0.071088948,261,,,1,0,1,user_553087,11,6,0.545454545,1,1
Instagram,,218,1,416,636,,4945,201,0.0406389,,0.683077318,267,0,122,0,0,0,kwame_7262,10,4,0.4,1,0
X,,,1,408,693,0.587896254,4397,196,0.044565712,0.68680182,0.374413584,28,,84,0,1,0,sofia_5345,10,4,0.4,1,0
X,1,81,1,443,693,0.63832853,1392,203,0.145728643,0.940688366,0.870430312,332,177,122,0,1,0,kiran,5,0,0,0,0
Instagram,0,76,0,383,660,0.579425113,4801,200,0.041649313,0.572451474,0.780338438,379,163,,0,0,1,xaj9uxkjkc,10,1,0.1,0,0
X,0,207,1,443,667,,3143,205,0.065203562,0.098700006,0.145328142,281,172,13,,0,0,layla,5,0,0,0,0
X,,,1,415,703,0.589488636,269,217,0.803703704,,0.601715731,,,69,,1,1,acc_7pyfrib0,12,2,0.166666667,1,1
Instagram,1,190,0,398,708,0.56135402,3918,186,0.047461087,0.79587236,0.692213926,206,,138,0,0,1,user_181124,11,6,0.545454545,1,1
Instagram,1,75,,403,714,0.563636364,1525,,0.138925295,0.626083652,0.56813758,271,8,101,0,0,0,john.9227,9,4,0.444444444,1,1
X,,171,0,395,689,,478,212,0.442588727,0.922657339,0.514042176,308,109,68,0,0,1,gorxz2980,9,4,0.444444444,0,0
X,1,37,,418,717,0.582172702,4272,192,0.044933302,0.547250151,0.227863075,402,83,78,1,0,0,ashley8593,10,4,0.4,0,0
X,0,210,0,380,,0.502645503,239,187,0.779166667,0.062395403,0.235906844,174,,,,,0,maria8350,9,4,0.444444444,0,0
Facebook,0,187,0,403,723,0.556629834,610,183,0.299509002,0.40368685,0.768008139,217,62,61,1,0,0,jose.644,8,3,0.375,1,1
Facebook,1,70,,389,700,0.554921541,4588,198,0.043146655,0.657990689,,,131,79,0,0,0,yuki.6649,9,4,0.444444444,1,1
Facebook,0,248,1,398,728,0.545953361,4425,,0.051061907,0.384885351,0.778910063,325,132,145,0,0,0,fatima,6,0,0,0,0
Instagram,1,226,1,,687,0.556686047,3398,200,0.058840836,,0.526798737,243,137,116,1,,1,svuxnrtr7s,10,1,0.1,0,0
Facebook,1,47,1,380,696,0.545193687,,214,0.047115808,0.405378614,0.936222652,252,107,125,1,0,0,hans2537,8,4,0.5,0,0
Instagram,,17,0,391,688,0.567489115,4538,192,0.042300066,0.546236126,0.997321548,,,23,1,1,0,satish_5791,11,4,0.363636364,1,0
,1,,0,413,733,0.5626703,4891,188,0.03843009,0.225392033,0.663484565,188,39,98,,0,0,haruto_3957,11,4,0.363636364,1,0
Facebook,1,182,0,432,703,0.613636364,1832,190,0.10365521,0.152138204,0.412257194,260,35,,0,1,0,ananya3514,10,4,0.4,0,0
Facebook,0,38,1,378,699,0.54,4987,188,0.037690457,0.645305539,0.475085909,442,34,13,1,1,1,user_252154,11,6,0.545454545,1,0
Facebook,1,195,0,386,656,0.587519026,1155,217,0.187716263,0.588612747,0.204215428,385,58,93,1,1,0,sofia_8221,10,4,0.4,1,1
X,1,186,1,409,693,,1752,197,0.112378779,0.004338857,0.099234324,499,192,23,1,1,0,luna_9297,9,4,0.444444444,1,0
Facebook,,88,1,369,731,0.504098361,3599,186,,0.284781535,0.578763393,,115,12,0,,0,ali,3,0,0,0,0
X,1,223,0,414,692,0.597402597,2486,191,0.076799357,0.643579573,0.805495098,484,30,146,,1,0,valentina.5520,14,4,0.285714286,1,1
Instagram,0,61,,365,729,,3339,195,0.058383234,0.812249346,0.261766518,2,173,28,0,0,0,marco,5,0,0,0,0
X,1,,0,385,690,0.557163531,2334,205,0.087794433,0.312368653,0.41965281,453,48,21,0,1,1,bot_om81a,9,2,0.222222222,1,0
Facebook,0,140,,380,741,0.51212938,4387,227,0.051731996,0.647436369,0.554773662,350,133,1,1,0,0,suresh,6,0,0,0,0
Instagram,0,108,0,390,692,0.562770563,4464,187,0.041881299,0.26525793,0.90789782,42,197,102,0,1,1,bot_d2y18,9,3,0.333333333,1,0
Instagram,0,80,1,379,695,0.54454023,4582,205,0.044730526,0.690379895,0.138631228,132,105,35,,0,0,fatima,6,0,0,0,0
Instagram,1,240,0,418,700,0.596291013,168,196,1.159763314,0.697947999,0.236883169,177,18,37,0,,0,alex281,7,3,0.428571429,0,0
X,0,228,0,367,708,0.517630465,3543,208,0.058690745,0.130223466,,493,95,,0,1,0,giulia.1054,11,4,0.363636364,1,0
Facebook,0,133,1,416,692,0.6002886,4010,,0.047868362,0.665089784,0.039535593,265,169,50,,0,1,acc_3dntm367,12,4,0.333333333,1,1
Instagram,0,,1,404,749,,78,197,2.493670886,0.333567182,,410,29,142,,0,1,acc_kzqz7eey,12,1,0.083333333,1,2
Instagram,0,76,0,417,,0.572802198,,231,0.079655172,,0.639525883,23,25,127,0,1,0,emily.7712,10,4,0.4,1,1
Instagram,0,248,1,394,731,0.538251366,1109,192,0.172972973,0.500361233,0.383254434,21,130,16,,,1,fuibw9031,9,4,0.444444444,0,0
X,1,187,1,418,,0.626686657,892,200,0.223964166,0.452296684,0.468164679,344,160,111,1,1,1,acc_goultfwy,12,0,0,1,1
X,1,89,,391,734,,4757,214,0.044976881,0.773874811,0.854917951,2,,76,0,1,0,zuri.7725,9,4,0.444444444,1,1
Facebook,1,13,0,385,687,,1225,207,0.168841762,0.084515509,0.164982063,399,158,21,0,,0,priya.9309,10,4,0.4,1,0
X,1,94,,412,641,0.641744548,4685,203,0.043320529,0.789753269,0.231567478,157,110,,,1,0,riya8314,8,4,0.5,0,0
Instagram,1,53,1,415,,0.614814815,565,182,0.32155477,0.106082362,0.512350411,367,195,127,1,1,0,ali_4734,8,4,0.5,1,0
Facebook,1,131,1,385,648,0.593220339,2860,,0.07689619,0.207459028,0.409745423,426,95,89,0,0,1,hudbp5177,9,4,0.444444444,0,1
Instagram,1,38,0,407,709,,302,211,0.696369637,0.515882118,0.574372498,3,81,131,1,0,1,user_161869,11,6,0.545454545,1,0
Instagram,0,71,1,427,690,0.617945007,4390,198,0.045092234,0.4631746,0.920839186,106,,6,0,0,0,michael.4187,12,4,0.333333333,1,0
X,1,24,0,,717,0.601671309,109,215,1.954545455,0.988858975,0.917102018,295,21,137,1,1,0,hans.3266,9,4,0.444444444,1,1
Facebook,0,76,1,429,667,0.642215569,2413,202,0.083678542,0.589473713,0.23001834,271,190,14,1,1,0,yuki,4,0,0,0,0
